255, 255, 255
0, 204, 0
0, 255, 0
0, 255, 255
0, 204, 255
0, 153, 255
0, 102, 255
0, 51, 255
0, 0, 255
0, 1, 255
0, 2, 255
0, 3, 255
0, 4, 255
0, 5, 255
0, 6, 255
0, 7, 255
0, 8, 255
0, 9, 255
0, 10, 255
0, 11, 255
0, 12, 255
0, 13, 255
0, 14, 255
0, 15, 255
0, 16, 255
0, 17, 255
0, 18, 255
0, 19, 255
0, 20, 255
0, 21, 255
0, 22, 255
0, 23, 255
0, 24, 255
0, 25, 255
0, 26, 255
0, 27, 255
0, 28, 255
0, 29, 255
0, 30, 255
0, 31, 255
0, 32, 255
0, 33, 255
0, 34, 255
0, 35, 255
0, 36, 255
0, 37, 255
0, 38, 255
0, 39, 255
0, 40, 255
0, 41, 255
0, 42, 255
0, 43, 255
0, 44, 255
0, 45, 255
0, 46, 255
0, 47, 255
0, 48, 255
0, 49, 255
0, 50, 255
0, 51, 255
0, 52, 255
0, 53, 255
